id,intended_urgency,intended_emotion,evaluated_urgency,evaluated_emotion,urgency_changed,emotion_changed,any_changed
277,Low,Low,High,Medium,True,True,True
278,Low,Low,High,Medium,True,True,True
279,Low,Low,High,High,True,True,True
280,Low,Low,High,Medium,True,True,True
281,Low,Low,High,Medium,True,True,True
282,Low,Low,High,Medium,True,True,True
283,Low,Low,High,Medium,True,True,True
284,Low,Low,High,Medium,True,True,True
285,Low,Low,High,Medium,True,True,True
286,Low,Low,High,Medium,True,True,True
287,Low,Low,Medium,Low,True,False,True
288,Low,Low,Medium,Low,True,False,True
289,Low,Low,Medium,Medium,True,True,True
290,Low,Low,High,Medium,True,True,True
291,Low,Low,High,Medium,True,True,True
292,Low,Low,High,Medium,True,True,True
293,Low,Low,High,Medium,True,True,True
294,Low,Low,Medium,Low,True,False,True
295,Low,Low,High,Medium,True,True,True
296,Low,Low,Medium,Medium,True,True,True
297,Low,Low,High,Medium,True,True,True
298,Low,Low,Medium,Medium,True,True,True
299,Low,Low,High,Medium,True,True,True
300,Low,Low,High,Medium,True,True,True
301,Low,Low,High,Medium,True,True,True
302,Low,Low,High,Medium,True,True,True
303,Low,Low,Medium,Medium,True,True,True
304,Low,Low,High,Low,True,False,True
305,Low,Low,High,Medium,True,True,True
306,Low,Low,High,Medium,True,True,True
307,Low,Low,Medium,Low,True,False,True
308,Low,Low,High,Medium,True,True,True
309,Low,Low,Medium,Low,True,False,True
310,Low,Low,High,Medium,True,True,True
311,Low,Low,Medium,Medium,True,True,True
312,Low,Low,High,Medium,True,True,True
313,Low,Low,High,Medium,True,True,True
314,Low,Low,High,Medium,True,True,True
315,Low,Low,High,Medium,True,True,True
316,Low,Low,High,Medium,True,True,True
317,Low,Low,High,Medium,True,True,True
318,Low,Low,Medium,Medium,True,True,True
319,Low,Low,Medium,Low,True,False,True
320,Low,Low,High,Medium,True,True,True
321,Low,Low,Medium,Low,True,False,True
322,Low,Low,High,Low,True,False,True
323,Low,Low,High,Medium,True,True,True
324,Low,Low,High,Low,True,False,True
325,Low,Low,High,Medium,True,True,True
326,Low,Low,High,Low,True,False,True
327,Low,Low,Medium,Low,True,False,True
328,Low,Low,High,Low,True,False,True
329,Low,Low,High,Medium,True,True,True
330,Low,Low,High,Medium,True,True,True
331,Low,Low,Medium,Low,True,False,True
332,Low,Low,High,Medium,True,True,True
333,Low,Low,High,Medium,True,True,True
334,Low,Low,High,Medium,True,True,True
335,Low,Low,Medium,Medium,True,True,True
336,Low,Low,High,Medium,True,True,True
337,Low,Low,Medium,Low,True,False,True
338,Low,Low,Medium,Low,True,False,True
339,Low,Low,High,Medium,True,True,True
340,Low,Low,High,Medium,True,True,True
341,Low,Low,High,Medium,True,True,True
342,Low,Low,High,Medium,True,True,True
343,Low,Low,High,Medium,True,True,True
344,Low,Low,High,High,True,True,True
345,Low,Low,High,Medium,True,True,True
346,Low,Low,Medium,Low,True,False,True
347,Low,Low,High,Medium,True,True,True
348,Low,Low,High,Medium,True,True,True
349,Low,Low,High,Medium,True,True,True
350,Low,Low,High,Medium,True,True,True
351,Low,Low,High,Medium,True,True,True
352,Low,Low,High,High,True,True,True
353,Low,Low,High,Medium,True,True,True
354,Low,Low,High,High,True,True,True
355,Low,Low,High,Medium,True,True,True
356,Low,Low,High,Medium,True,True,True
357,Low,Low,Medium,Low,True,False,True
358,Low,Low,High,Low,True,False,True
359,Low,Low,High,Medium,True,True,True
360,Low,Low,High,Medium,True,True,True
361,Low,Low,High,High,True,True,True
362,Low,Low,High,Medium,True,True,True
363,Low,Low,Medium,Low,True,False,True
364,Low,Low,High,Medium,True,True,True
365,Low,Low,Medium,Medium,True,True,True
366,Low,Low,High,Medium,True,True,True
368,Low,Low,High,Medium,True,True,True
369,Low,Low,Medium,Low,True,False,True
370,Low,Low,High,Medium,True,True,True
371,Low,Low,High,Medium,True,True,True
372,Low,Low,Medium,Low,True,False,True
373,Low,Low,High,Medium,True,True,True
374,Low,Low,High,Medium,True,True,True
375,Low,Low,Medium,Low,True,False,True
376,Low,Low,High,Medium,True,True,True
377,Low,Low,High,Medium,True,True,True
378,Low,Low,High,Medium,True,True,True
379,Low,Low,High,Medium,True,True,True
380,Low,Low,Medium,Low,True,False,True
382,Low,Low,High,Medium,True,True,True
383,Low,Low,High,Medium,True,True,True
384,Low,Low,Medium,Low,True,False,True
385,Low,Low,High,Medium,True,True,True
386,Low,Low,Medium,Low,True,False,True
387,Low,Low,High,Medium,True,True,True
388,Low,Low,High,Medium,True,True,True
389,Low,Low,High,Medium,True,True,True
390,Low,Low,High,Low,True,False,True
391,Low,Low,High,Medium,True,True,True
392,Low,Low,High,High,True,True,True
394,Low,Low,High,Medium,True,True,True
395,Low,Low,High,High,True,True,True
396,Low,Low,High,Medium,True,True,True
397,Low,Low,High,Medium,True,True,True
398,Low,Low,High,Medium,True,True,True
399,Low,Low,High,Medium,True,True,True
400,Low,Low,High,Low,True,False,True
401,Low,Low,Medium,Low,True,False,True
402,Low,Low,High,Medium,True,True,True
403,Low,Low,High,Medium,True,True,True
404,Low,Low,High,Medium,True,True,True
405,Low,Low,High,Medium,True,True,True
406,Low,Low,Medium,Low,True,False,True
407,Low,Low,High,Medium,True,True,True
408,Low,Low,High,Medium,True,True,True
409,Low,Low,High,Medium,True,True,True
410,Low,Low,High,Medium,True,True,True
411,Low,Low,Medium,Medium,True,True,True
412,Low,Low,High,Medium,True,True,True
413,Low,Low,High,Medium,True,True,True
414,Low,Low,Medium,Low,True,False,True
415,Low,Low,High,Medium,True,True,True
416,Low,Low,High,Medium,True,True,True
417,Low,Low,High,Medium,True,True,True
418,Low,Low,Medium,Low,True,False,True
419,Low,Low,Medium,Medium,True,True,True
420,Low,Low,High,Medium,True,True,True
421,Low,Low,High,Medium,True,True,True
422,Low,Low,Medium,Medium,True,True,True
423,Low,Low,High,Medium,True,True,True
424,Low,Low,High,Medium,True,True,True
426,Low,Low,High,Medium,True,True,True
427,Low,Low,High,Medium,True,True,True
428,Low,Low,High,Medium,True,True,True
429,Low,Low,High,Medium,True,True,True
430,Low,Low,High,Medium,True,True,True
431,Low,Low,High,Medium,True,True,True
432,Low,Low,Medium,Medium,True,True,True
433,Low,Low,High,Medium,True,True,True
435,Low,Low,High,Medium,True,True,True
436,Low,Low,High,Medium,True,True,True
437,Low,Low,High,Medium,True,True,True
438,Low,Low,Medium,Low,True,False,True
439,Low,Low,High,Medium,True,True,True
440,Low,Low,Medium,Medium,True,True,True
441,Low,Low,High,Medium,True,True,True
442,Low,Low,Medium,Medium,True,True,True
443,Low,Low,High,Medium,True,True,True
444,Low,Low,Medium,Low,True,False,True
445,Low,Low,Medium,Medium,True,True,True
446,Low,Low,High,Medium,True,True,True
447,Low,Low,High,Medium,True,True,True
448,Low,Low,High,Medium,True,True,True
449,Low,Low,Medium,Low,True,False,True
450,Low,Low,High,Medium,True,True,True
451,Low,Low,Medium,Low,True,False,True
452,Low,Low,High,Medium,True,True,True
453,Low,Low,High,Low,True,False,True
454,Low,Low,High,Low,True,False,True
455,Low,Low,High,Medium,True,True,True
456,Low,Low,High,Medium,True,True,True
457,Low,Low,Medium,Medium,True,True,True
458,Low,Low,High,Medium,True,True,True
459,Low,Low,High,Medium,True,True,True
460,Low,Low,High,High,True,True,True
461,Low,Low,High,Medium,True,True,True
462,Low,Low,Medium,Low,True,False,True
463,Low,Low,High,Medium,True,True,True
464,Low,Low,High,Medium,True,True,True
465,Low,Low,Medium,Low,True,False,True
466,Low,Low,High,Medium,True,True,True
467,Low,Low,High,Medium,True,True,True
468,Low,Low,High,High,True,True,True
469,Low,Low,High,Medium,True,True,True
470,Low,Low,High,Medium,True,True,True
471,Low,Low,High,Medium,True,True,True
472,Low,Low,Medium,Low,True,False,True
473,Low,Low,High,Medium,True,True,True
474,Low,Low,High,Medium,True,True,True
475,Low,Low,High,Medium,True,True,True
476,Low,Low,High,Medium,True,True,True
477,Low,Low,Medium,Medium,True,True,True
478,Low,Low,High,Medium,True,True,True
479,Low,Low,High,Medium,True,True,True
480,Low,Low,High,Medium,True,True,True
481,Low,Low,High,Medium,True,True,True
482,Low,Low,High,Medium,True,True,True
483,Low,Low,Medium,Medium,True,True,True
484,Low,Low,Medium,Medium,True,True,True
486,Low,Low,High,Medium,True,True,True
488,Low,Low,High,Medium,True,True,True
489,Low,Low,High,Medium,True,True,True
490,Low,Low,High,Medium,True,True,True
491,Low,Low,High,Medium,True,True,True
492,Low,Low,Medium,Low,True,False,True
493,Low,Low,High,Medium,True,True,True
494,Low,Low,High,Medium,True,True,True
495,Low,Low,High,Medium,True,True,True
496,Low,Low,High,Medium,True,True,True
497,Low,Low,High,Medium,True,True,True
498,Low,Low,High,Medium,True,True,True
499,Low,Low,High,Medium,True,True,True
501,Low,Low,Medium,Low,True,False,True
502,Low,Low,Medium,Low,True,False,True
504,Low,Low,Medium,Low,True,False,True
505,Low,Low,High,Low,True,False,True
506,Low,Low,High,Low,True,False,True
507,Low,Low,High,Medium,True,True,True
508,Low,Low,High,Medium,True,True,True
509,Low,Low,High,Medium,True,True,True
510,Low,Low,Medium,Medium,True,True,True
511,Low,Low,High,Medium,True,True,True
512,Low,Low,High,Medium,True,True,True
513,Low,Low,High,Medium,True,True,True
515,Low,Low,Medium,Medium,True,True,True
516,Low,Low,High,Medium,True,True,True
518,Low,Low,Medium,Low,True,False,True
519,Low,Low,High,Medium,True,True,True
520,Low,Low,High,Medium,True,True,True
521,Low,Low,High,Medium,True,True,True
522,Low,Low,High,Medium,True,True,True
523,Low,Low,High,Medium,True,True,True
524,Low,Low,High,Medium,True,True,True
525,Low,Low,High,Medium,True,True,True
526,Low,Low,High,Medium,True,True,True
527,Low,Low,High,Medium,True,True,True
528,Low,Low,High,Medium,True,True,True
529,Low,Low,High,Medium,True,True,True
530,Low,Low,High,Medium,True,True,True
531,Low,Low,High,Medium,True,True,True
532,Low,Low,High,Medium,True,True,True
533,Low,Low,High,Medium,True,True,True
534,Low,Low,High,Medium,True,True,True
535,Low,Low,High,Medium,True,True,True
536,Low,Low,High,Medium,True,True,True
537,Low,Low,High,Medium,True,True,True
538,Low,Low,High,Medium,True,True,True
539,Low,Low,Medium,Medium,True,True,True
540,Low,Low,High,Medium,True,True,True
541,Low,Low,High,Medium,True,True,True
542,Low,Low,High,High,True,True,True
543,Low,Low,High,Medium,True,True,True
544,Low,Low,High,High,True,True,True
545,Low,Low,Low,Medium,False,True,True
546,Low,Low,High,Medium,True,True,True
547,Low,Low,High,Medium,True,True,True
548,Low,Low,High,Medium,True,True,True
549,Low,Low,High,Medium,True,True,True
550,Low,Low,Medium,Medium,True,True,True
551,Low,Low,Medium,Medium,True,True,True
552,Low,Low,High,Medium,True,True,True
553,Low,Low,Medium,Medium,True,True,True
554,Low,Low,High,Medium,True,True,True
555,Low,Low,High,High,True,True,True
556,Low,Low,High,Medium,True,True,True
557,Low,Low,Medium,Medium,True,True,True
558,Low,Low,Medium,Medium,True,True,True
559,Low,Low,Medium,Medium,True,True,True
560,Low,Low,High,Medium,True,True,True
561,Low,Low,High,Medium,True,True,True
562,Low,Low,Medium,Medium,True,True,True
563,Low,Low,Medium,Medium,True,True,True
564,Low,Low,High,Medium,True,True,True
565,Low,Low,High,Medium,True,True,True
566,Low,Low,High,Medium,True,True,True
567,Low,Low,Medium,Medium,True,True,True
568,Low,Low,High,Medium,True,True,True
569,Low,Low,Medium,Low,True,False,True
570,Low,Low,Medium,Low,True,False,True
571,Low,Low,High,High,True,True,True
572,Low,Low,Medium,Medium,True,True,True
573,Low,Low,High,Medium,True,True,True
574,Low,Low,High,Medium,True,True,True
575,Low,Low,Medium,Medium,True,True,True
576,Low,Low,Medium,Low,True,False,True
578,Low,Low,High,High,True,True,True
579,Low,Low,High,Medium,True,True,True
580,Low,Low,High,Medium,True,True,True
581,Low,Low,High,Medium,True,True,True
582,Low,Low,High,Medium,True,True,True
583,Low,Low,Medium,Medium,True,True,True
584,Low,Low,High,Medium,True,True,True
585,Low,Medium,High,High,True,True,True
586,Low,Medium,Medium,High,True,True,True
587,Low,Medium,High,High,True,True,True
588,Low,Medium,High,High,True,True,True
589,Low,Medium,High,High,True,True,True
590,Low,Medium,High,High,True,True,True
591,Low,Medium,High,High,True,True,True
592,Low,Medium,High,High,True,True,True
593,Low,Medium,Medium,High,True,True,True
594,Low,Medium,High,High,True,True,True
595,Low,Medium,Medium,High,True,True,True
596,Low,Medium,Medium,High,True,True,True
597,Low,Medium,High,High,True,True,True
598,Low,Medium,High,Medium,True,False,True
599,Low,Medium,High,High,True,True,True
600,Low,Medium,High,High,True,True,True
601,Low,Medium,High,Medium,True,False,True
602,Low,Medium,Medium,Medium,True,False,True
603,Low,Medium,High,High,True,True,True
604,Low,Medium,High,High,True,True,True
605,Low,Medium,High,Medium,True,False,True
606,Low,Medium,High,High,True,True,True
607,Low,Medium,High,High,True,True,True
608,Low,Medium,High,Medium,True,False,True
609,Low,Medium,High,Medium,True,False,True
610,Low,Medium,High,High,True,True,True
611,Low,Medium,High,High,True,True,True
612,Low,Medium,High,Medium,True,False,True
613,Low,Medium,High,Medium,True,False,True
614,Low,Medium,High,High,True,True,True
615,Low,Medium,High,High,True,True,True
616,Low,Medium,Medium,Medium,True,False,True
617,Low,Medium,High,High,True,True,True
618,Low,Medium,High,High,True,True,True
619,Low,Medium,High,High,True,True,True
620,Low,Medium,High,High,True,True,True
621,Low,Medium,Medium,Medium,True,False,True
623,Low,Medium,High,High,True,True,True
624,Low,Medium,Medium,Medium,True,False,True
625,Low,Medium,High,High,True,True,True
626,Low,Medium,High,High,True,True,True
627,Low,Medium,Medium,Medium,True,False,True
628,Low,Medium,High,High,True,True,True
630,Low,Medium,Medium,Medium,True,False,True
631,Low,Medium,High,High,True,True,True
632,Low,Medium,High,High,True,True,True
633,Low,Medium,High,Medium,True,False,True
634,Low,Medium,Medium,Medium,True,False,True
635,Low,Medium,Medium,Medium,True,False,True
636,Low,Medium,Medium,High,True,True,True
637,Low,Medium,High,Medium,True,False,True
638,Low,Medium,High,High,True,True,True
639,Low,Medium,High,Medium,True,False,True
640,Low,Medium,High,High,True,True,True
641,Low,Medium,High,Medium,True,False,True
642,Low,Medium,High,Medium,True,False,True
643,Low,Medium,Medium,Medium,True,False,True
644,Low,Medium,High,Medium,True,False,True
645,Low,Medium,High,Medium,True,False,True
646,Low,Medium,Medium,Medium,True,False,True
647,Low,Medium,High,Medium,True,False,True
648,Low,Medium,Medium,Medium,True,False,True
649,Low,Medium,High,High,True,True,True
650,Low,Medium,High,Medium,True,False,True
651,Low,Medium,High,Medium,True,False,True
652,Low,Medium,Medium,Medium,True,False,True
653,Low,Medium,High,High,True,True,True
654,Low,Medium,High,High,True,True,True
655,Low,Medium,High,High,True,True,True
656,Low,Medium,High,High,True,True,True
657,Low,Medium,Medium,High,True,True,True
658,Low,Medium,High,Medium,True,False,True
659,Low,Medium,High,Medium,True,False,True
660,Low,Medium,High,High,True,True,True
661,Low,Medium,High,High,True,True,True
662,Low,Medium,Medium,Medium,True,False,True
663,Low,Medium,High,High,True,True,True
664,Low,Medium,High,High,True,True,True
665,Low,Medium,High,High,True,True,True
666,Low,Medium,Medium,High,True,True,True
667,Low,Medium,High,High,True,True,True
668,Low,Medium,High,Medium,True,False,True
670,Low,Medium,High,Medium,True,False,True
671,Low,Medium,High,High,True,True,True
672,Low,Medium,Medium,High,True,True,True
673,Low,Medium,Medium,Medium,True,False,True
674,Low,Medium,High,High,True,True,True
675,Low,Medium,High,High,True,True,True
676,Low,Medium,High,Medium,True,False,True
677,Low,Medium,High,High,True,True,True
678,Low,Medium,Medium,High,True,True,True
679,Low,Medium,Medium,High,True,True,True
680,Low,Medium,High,High,True,True,True
681,Low,Medium,Medium,Medium,True,False,True
682,Low,Medium,High,Medium,True,False,True
683,Low,Medium,High,Medium,True,False,True
684,Low,Medium,High,Medium,True,False,True
685,Low,Medium,High,Medium,True,False,True
686,Low,Medium,High,Medium,True,False,True
687,Low,Medium,High,Medium,True,False,True
688,Low,Medium,Medium,Medium,True,False,True
689,Low,Medium,Medium,High,True,True,True
690,Low,Medium,High,High,True,True,True
691,Low,Medium,High,Medium,True,False,True
692,Low,Medium,High,Medium,True,False,True
693,Low,Medium,High,High,True,True,True
694,Low,Medium,High,Medium,True,False,True
695,Low,Medium,High,Medium,True,False,True
696,Low,Medium,Medium,Medium,True,False,True
697,Low,Medium,High,High,True,True,True
698,Low,Medium,High,Medium,True,False,True
699,Low,Medium,High,Medium,True,False,True
700,Low,Medium,High,Medium,True,False,True
701,Low,Medium,High,Medium,True,False,True
702,Low,Medium,High,Medium,True,False,True
703,Low,Medium,Medium,Medium,True,False,True
704,Low,Medium,High,Medium,True,False,True
705,Low,Medium,High,Medium,True,False,True
706,Low,Medium,High,Medium,True,False,True
707,Low,Medium,Medium,Medium,True,False,True
